TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
128	2	4	1	0.07	0.07	0	-0.011505779	0.013633528	-0.00181229	0.034161275	0.040673999	-0.005665754	38.89778486	6784.302821	0.012105101	2731234.468	2743986.052	1	0.25
129	2	4	1	0	0.7	0	-0.001652607	0.216082134	-0.020476454	0.00275671	0.648634835	-0.061566693	38.62902129	9339.999788	0.012752774	2749052.098	2765987.468	1	3.15
130	2	4	1	-0.35	0.35	0	0.113202203	0.10151081	-0.006627384	-0.340383473	0.303367137	-0.020294145	44.01049236	7079.139023	0.011824367	2771069.445	2785121.745	1	1.95
131	2	4	1	-0.9	0	0	0.285130543	0.000317983	0.030250663	-0.855391628	0.000112347	0.090248441	15.98213398	9132.835944	0.070636436	2790172.904	2806639.683	1	3.75
132	2	4	1	-0.64	-0.64	0	0.2040377	-0.200873185	0.084493568	-0.611757039	-0.601875063	0.254442023	26.98101917	7595.150513	0.012454771	2811705.204	2826524.298	1	4
133	2	4	1	-0.5	0	0	0.155721644	0.006603755	0.022634812	-0.467877055	0.020134957	0.067355111	27.5531902	13195.34919	0.186512289	2831590.171	2851942.248	1	1.45
134	2	4	1	-0.7	0	0	0.220962562	0.005777958	0.031064298	-0.663243748	0.018531539	0.092918233	16.35993461	15217.93882	0.084575485	2857008.669	2878877.052	1	2.3
135	2	4	1	0.3	0	0	-0.08602238	-0.002509137	-0.001869084	0.257419756	-0.007009501	-0.00359306	16.79535348	8351.516144	0.080699711	2883962.099	2898817.416	1	1.2
136	2	4	1	-0.49	0.49	0	0.164715606	0.148656942	-0.009741878	-0.494243926	0.446909535	-0.027623438	16.41974087	10267.90004	0.079576994	2903878.352	2921395.934	1	3.05
137	2	4	1	0.7	0	0	-0.223411302	0.003776044	-0.010068946	0.667870949	0.010259946	-0.030435724	16.70637341	11184.74779	0.077919987	2926461.785	2944397.253	1	2.6
138	2	4	1	-0.35	0.35	0	0.104381153	0.107903025	0.000816736	-0.314179277	0.323838553	0.001809329	99.99208662	8201.561017	0.07899233	2949468.451	2964299.34	1	2.2
139	2	4	1	0.35	0.35	0	-0.104477113	0.108645956	-0.025493834	0.311489183	0.325678914	-0.074238425	27.17028416	12862.27343	0.077565852	2969347.399	2988783.595	1	1.95
140	2	4	1	-0.35	-0.35	0	0.106470655	-0.104140991	0.037309993	-0.319411964	-0.314170913	0.110419336	16.81577515	9417.764361	0.07499301	2993849.329	3010707.19	1	2.05
141	2	4	1	0.35	0.35	0	-0.106670136	0.109254585	-0.010899055	0.319816192	0.326598461	-0.030225205	26.37238087	8267.87524	0.074745272	3015784.893	3031452.708	1	2
142	2	4	1	0.9	0	0	-0.286828755	0.004450857	-0.007056431	0.859353342	0.014420757	-0.020574191	17.0914675	9658.056872	0.074209366	3036518.739	3053270.312	1	3.15
143	2	4	1	0.64	-0.64	0	-0.204089591	-0.201127379	0.073739431	0.612074556	-0.603382137	0.220119643	4527.597133	8861.998471	0.073990221	3058337.102	3074988.302	1	2.9
144	2	4	1	0.49	0.49	0	-0.154366152	0.15093551	-0.038325573	0.462612918	0.452903638	-0.113328743	43.70672021	10696.15128	0.074374022	3080055.539	3098378.864	1	2.85
145	2	4	1	-0.21	-0.21	0	0.064308277	-0.055283215	0.023810019	-0.193442741	-0.16468435	0.072528707	5110.67006	7345.163915	0.073481023	3103457.164	3117490.692	1	1.05
